algoritmo,tamanho_array,probabilidade,input,output,output_correto,tamanho_sub_array_ordenado,distancia
merge, 100, 0.5, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 45 36 15 31 5 21 4 12 18 40 43 13 40 30 40 18 7 36 31 40 24 28 9 49 13 21 30 20 4 31 47 3 2 12 5 13 42 13 32 14 25 45 39 31 49 1 12 34 7 26 34 4 7 31 43 43 25 46 41 46 32 47 34 4 36 24 42 23 28 31 35 32 27 33 31 18 17 26 38 27 2 4 49 16 29 23 22 3 38 21 43 2 48 49 42 29 43 33 5 19, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 5, 926693369
bubble, 100, 0.5, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 27 45 40 40 4 26 7 36 25 28 42 40 27 5 34 41 2 13 4 36 35 32 2 24 46 28 33 38 5 14 13 47 21 30 31 42 4 20 15 49 25 34 26 22 12 16 43 34 40 43 9 42 7 32 21 46 49 31 23 4 31 13 45 31 31 47 38 49 3 18 12 33 32 23 43 2 39 1 13 29 18 21 49 5 7 36 31 30 24 19 43 18 48 31 3 17 29 43 12 4, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 4, 1438316483
quick, 100, 0.6, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 36 46 39 27 41 27 24 47 40 38 31 24 21 36 13 40 25 18 34 21 31 31 13 43 49 28 45 40 33 13 18 30 42 46 32 5 26 18 13 5 43 43 7 34 32 2 26 36 12 31 34 1 48 42 2 32 33 38 29 43 42 16 40 49 49 9 47 30 20 43 17 23 31 15 4 31 5 14 3 4 4 35 49 28 4 22 21 45 19 4 31 12 7 3 7 29 23 25 2 12, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 5, 662010150
insertion, 100, 0.6, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 25 42 40 26 45 36 4 14 27 38 13 36 40 2 5 40 2 13 7 35 27 4 26 5 32 28 15 9 46 30 41 20 21 33 34 49 42 34 43 23 28 24 25 46 43 4 31 13 47 16 12 34 49 40 49 42 21 12 4 31 31 31 45 22 32 32 18 7 3 31 47 38 1 23 2 29 5 13 39 43 24 33 18 49 36 7 31 21 31 18 30 43 17 43 48 4 3 19 29 12, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 5, 1711153777
merge, 100, 0.6, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 43 46 31 7 38 40 34 32 48 13 31 3 21 47 28 41 40 36 43 9 36 24 43 18 29 15 5 12 33 45 18 7 49 13 49 31 31 21 49 1 5 30 13 43 42 38 40 33 30 34 32 31 13 36 43 2 42 25 22 23 4 4 42 23 16 12 21 24 20 34 4 31 31 28 27 35 5 47 14 46 12 4 40 26 2 32 45 25 7 4 2 49 27 26 39 18 17 19 29 3, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 4, 1970080426
bubble, 100, 0.6, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 46 49 47 40 38 40 45 41 36 32 40 42 42 35 28 27 13 36 33 26 23 34 46 14 26 43 25 9 27 21 13 4 49 49 43 5 2 40 42 5 34 34 31 47 2 28 4 30 25 15 24 20 7 45 38 39 32 16 31 22 21 13 31 31 32 4 49 18 12 43 31 29 4 7 12 33 24 13 36 23 5 3 2 18 18 43 1 21 31 19 30 31 17 43 7 48 12 4 3 29, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 4, 247980401
quick, 100, 0.75, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 40 49 7 1 35 34 30 31 27 33 26 36 30 3 49 49 43 46 49 47 36 45 41 40 38 34 36 48 34 12 23 43 32 32 29 31 13 32 31 25 42 25 26 43 24 28 31 22 29 46 45 42 38 47 23 31 5 2 28 9 13 33 43 43 21 13 5 17 4 4 4 12 21 19 4 31 40 18 42 20 18 18 40 39 31 21 27 13 7 3 15 14 24 16 7 2 12 5 4 2, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 5, 1614182020
insertion, 100, 0.75, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 42 40 26 4 45 36 25 38 40 27 14 13 5 36 40 2 2 35 27 26 13 32 4 28 15 9 7 5 46 41 30 34 42 34 23 33 21 47 28 24 49 20 43 25 43 4 31 49 12 46 21 40 34 13 16 49 42 31 31 31 4 12 45 22 18 32 47 32 7 3 31 23 38 39 13 2 33 43 29 24 5 49 36 31 30 21 18 43 18 17 31 1 43 7 4 48 19 3 29 12, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 3, -1215226345
merge, 100, 0.75, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 49 35 49 42 49 26 38 39 25 43 42 34 34 32 43 33 27 48 32 23 21 36 31 29 4 47 42 40 31 30 29 31 22 13 7 19 5 21 16 24 18 13 5 12 45 40 40 3 4 43 43 36 33 31 18 31 20 30 2 36 27 13 28 46 28 32 26 7 18 17 47 5 4 45 4 38 46 2 31 2 23 4 14 15 12 7 3 1 41 13 31 40 25 9 49 43 24 34 12 21, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 4, -915394351
bubble, 100, 0.75, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 49 49 49 47 46 46 45 43 42 45 42 43 42 40 40 41 40 38 36 38 35 40 36 34 34 32 34 33 32 28 28 32 30 27 31 27 26 26 24 49 25 23 31 21 15 14 13 43 31 47 13 36 31 7 9 25 4 39 2 5 33 23 22 31 21 20 13 31 16 29 18 13 12 4 12 2 24 5 7 4 30 4 48 43 43 18 31 5 19 3 21 18 2 1 7 12 4 17 3 29, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 3, -909097036
quick, 100, 0.9, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 49 48 49 45 43 49 45 47 47 43 46 43 43 40 43 27 15 18 29 49 16 46 31 34 30 29 40 42 40 41 42 34 36 38 32 32 32 33 31 42 30 36 34 28 24 26 40 25 25 31 24 22 21 21 21 18 18 20 17 3 19 38 31 23 31 13 13 3 14 13 12 39 7 12 9 7 7 33 12 5 5 5 26 4 4 4 4 35 31 31 27 28 4 23 1 2 36 13 2 2, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 5, 66203788
insertion, 100, 0.9, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 45 42 40 36 40 27 26 25 14 4 40 38 36 13 5 13 2 46 49 35 27 26 2 43 32 15 47 46 43 28 9 7 5 41 33 34 30 21 20 4 42 40 34 28 49 24 23 34 25 4 12 31 49 45 32 21 16 42 32 31 31 31 13 22 47 49 43 31 18 12 7 4 23 3 38 13 39 29 24 5 43 2 36 33 31 30 21 7 18 31 18 1 43 17 48 29 19 12 4 3, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 4, 914433166
merge, 100, 0.9, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 49 47 49 49 48 46 49 47 43 43 43 43 43 42 42 40 40 39 38 34 34 40 40 36 45 33 33 38 31 45 31 31 30 31 29 36 27 46 41 31 32 35 28 26 26 24 23 18 29 21 19 18 17 13 32 32 23 22 31 18 13 16 21 13 42 36 25 21 20 34 15 14 13 12 12 7 7 27 12 9 30 5 7 5 4 4 28 25 4 24 4 3 4 3 31 2 2 5 2 1, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 5, 812897253
bubble, 100, 0.9, 42 26 25 40 45 36 4 27 14 38 13 2 40 36 40 5 2 13 35 7 4 26 27 32 28 15 5 9 46 41 21 30 20 34 33 42 23 28 24 34 43 49 25 47 43 4 31 12 40 46 21 34 49 13 4 16 49 42 12 31 31 45 31 22 18 32 32 7 3 47 31 23 38 1 13 5 2 29 39 24 33 43 18 49 21 36 31 7 30 18 43 31 17 43 4 48 19 3 29 12, 49 49 49 49 47 47 46 46 45 45 43 43 43 42 42 41 40 42 40 40 40 39 38 38 36 36 36 35 34 34 34 33 33 32 32 32 31 43 31 31 31 31 30 31 28 28 27 27 26 26 25 25 24 29 23 22 23 21 21 20 18 15 48 16 43 30 14 13 24 13 13 31 12 13 9 29 21 12 7 5 7 18 5 18 4 4 4 5 2 17 4 7 2 3 2 19 1 4 3 12, 1 2 2 2 3 3 4 4 4 4 4 5 5 5 7 7 7 9 12 12 12 13 13 13 13 14 15 16 17 18 18 18 19 20 21 21 21 22 23 23 24 24 25 25 26 26 27 27 28 28 29 29 30 30 31 31 31 31 31 31 31 32 32 32 33 33 34 34 34 35 36 36 36 38 38 39 40 40 40 40 41 42 42 42 43 43 43 43 43 45 45 46 46 47 47 48 49 49 49 49, 4, -946826421
quick, 100, 0.1, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 1 1 1 4 7 3 5 4 5 5 11 12 1 6 8 10 40 8 3 6 12 13 11 13 22 23 13 10 6 14 14 17 14 18 19 20 20 20 20 22 22 22 22 22 22 23 23 41 23 33 33 24 47 23 26 8 24 27 30 31 27 33 42 28 29 29 29 30 31 31 32 37 43 32 34 35 35 35 44 38 39 39 40 41 41 43 45 44 27 29 31 45 45 46 48 48 31 48 49 49, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 16, 1244009060
insertion, 100, 0.1, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 4 6 22 12 23 29 31 31 32 38 3 3 40 12 13 1 22 32 18 33 39 43 8 23 44 47 29 28 41 14 22 48 19 48 23 5 31 33 34 7 22 24 22 6 26 33 1 29 39 45 11 23 37 27 1 4 5 6 10 13 14 20 20 41 42 11 40 22 24 27 27 29 31 41 44 45 8 8 35 23 43 46 45 48 49 1 5 10 13 14 20 20 22 17 30 31 35 30 35 49, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 11, -859887470
merge, 100, 0.1, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 1 3 1 1 3 6 4 5 5 5 6 6 7 8 10 11 8 10 12 13 14 20 20 22 11 14 22 8 13 18 22 22 23 23 13 14 23 24 22 27 27 27 31 28 23 24 22 29 26 29 29 35 29 30 17 31 30 31 31 19 22 31 32 33 33 33 35 35 38 34 39 32 41 23 39 40 37 41 41 42 20 20 44 43 12 43 47 4 40 44 45 1 48 48 49 49 45 45 46 48, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 10, -1326901483
bubble, 100, 0.1, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 12 11 11 13 12 13 14 14 18 19 20 20 20 22 22 22 22 22 22 22 23 23 23 23 13 24 23 24 26 27 27 28 27 29 29 29 14 29 31 31 31 31 32 32 33 33 33 34 35 37 38 39 39 40 31 40 41 41 41 35 42 43 44 43 17 44 47 45 20 48 45 45 30 48 46 48 49 30 49 35, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 21, -1841355290
quick, 100, 0.15, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 1 1 1 1 3 3 5 5 13 5 14 6 8 12 20 20 4 6 11 8 22 10 42 11 10 12 14 18 22 14 13 17 22 22 22 23 13 8 45 20 31 29 48 48 30 4 6 19 23 7 22 23 23 39 23 20 24 24 27 32 44 33 39 29 49 26 34 22 29 31 27 27 28 30 29 31 31 35 31 32 33 49 35 35 38 37 40 44 47 41 41 43 43 33 40 41 45 45 46 48, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 9, -1903119472
insertion, 100, 0.15, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 6 12 22 29 31 31 40 43 4 22 23 32 38 3 3 12 13 28 32 33 44 39 48 47 29 48 8 18 34 1 14 5 7 22 23 22 23 31 19 22 26 33 33 41 29 6 11 23 24 27 37 39 45 1 13 44 1 4 5 11 14 20 20 42 10 40 24 29 31 27 41 41 6 22 27 8 48 49 45 35 43 45 8 23 1 5 10 22 13 20 31 35 46 49 14 17 20 30 30 35, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 8, -1542200271
merge, 100, 0.15, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 1 5 3 5 11 14 6 13 22 13 17 32 6 7 14 20 24 27 14 18 27 33 1 19 8 13 22 30 22 20 23 4 23 31 10 20 20 22 33 3 33 35 8 30 38 41 12 39 22 26 29 43 5 6 8 11 44 12 23 28 23 27 22 31 35 42 24 45 29 29 32 29 31 44 31 37 1 45 39 41 43 46 31 40 34 23 47 22 40 41 1 48 48 48 45 49 10 35 49 4, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 6, 380192284
bubble, 100, 0.15, 29 40 31 22 6 31 43 12 4 23 32 38 33 22 3 48 32 47 39 44 48 29 28 12 3 13 18 34 8 1 23 41 14 23 31 22 19 5 7 33 22 22 33 29 26 45 6 24 39 11 27 23 37 44 1 1 13 20 20 42 14 10 5 4 49 41 24 11 40 31 29 27 41 6 22 27 45 48 35 8 8 43 45 46 23 1 5 20 22 31 10 49 35 14 20 13 17 30 30 35, 1 1 1 3 3 4 4 5 5 6 6 6 7 8 8 1 8 11 10 11 12 12 13 13 14 14 18 22 19 20 20 22 22 22 22 22 23 23 23 24 23 24 27 26 28 23 27 29 29 29 27 31 31 32 31 31 33 32 33 10 34 33 39 5 37 38 39 40 35 41 29 13 43 44 47 14 17 40 41 48 42 20 48 22 41 45 43 44 45 31 35 45 46 49 20 49 30 48 30 35, 1 1 1 1 3 3 4 4 5 5 5 6 6 6 7 8 8 8 10 10 11 11 12 12 13 13 13 14 14 14 17 18 19 20 20 20 20 22 22 22 22 22 22 22 23 23 23 23 23 24 24 26 27 27 27 28 29 29 29 29 30 30 31 31 31 31 31 32 32 33 33 33 34 35 35 35 37 38 39 39 40 40 41 41 41 42 43 43 44 44 45 45 45 46 47 48 48 48 49 49, 15, -1161823285
